epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.042,2.22247,8.99764,1.56177,0.00155,0.775,0.05268,0.00921,1.82404,15.2004,1.09426,0.00037154,0.00037154,0.00037154
2,247.01,2.02597,6.51258,1.51147,0.00084,0.325,0.15358,0.06017,1.61204,12.1393,1.23381,0.000742374,0.000742374,0.000742374
3,370.291,2.11007,7.95286,1.47778,0.58981,0.46748,0.53302,0.16758,1.77213,9.87474,1.43204,0.00109793,0.00109793,0.00109793
4,493.493,1.9595,6.07205,1.49503,0.68887,0.55,0.65,0.25467,1.8725,8.4851,1.48352,0.00134412,0.00134412,0.00134412
5,613.428,2.09592,5.13995,1.70174,0.58403,0.70203,0.63098,0.2491,1.79295,8.14507,1.44824,0.00131582,0.00131582,0.00131582
6,731.018,2.04224,5.0451,1.58692,0.58318,0.5,0.58997,0.19641,1.97706,6.09701,1.52052,0.00128753,0.00128753,0.00128753
7,850.459,2.03582,3.35365,1.52277,0.63384,0.65,0.67654,0.2773,1.70845,5.49826,1.28164,0.00125923,0.00125923,0.00125923
8,969.375,1.94513,3.16143,1.47685,0.57286,0.7,0.552,0.21345,1.61644,4.74092,1.30872,0.00123094,0.00123094,0.00123094
9,1087.78,1.90592,2.80906,1.5898,0.65728,0.575,0.61086,0.24721,1.63823,3.97764,1.36004,0.00120265,0.00120265,0.00120265
10,1204.34,1.99123,2.84964,1.57376,0.71814,0.7,0.76337,0.29534,1.64987,3.62214,1.25617,0.00117435,0.00117435,0.00117435
11,1321.49,1.89982,2.87688,1.49664,0.63284,0.75,0.77894,0.32783,1.67694,3.23297,1.31864,0.00114606,0.00114606,0.00114606
12,1441.28,1.8427,2.22661,1.46942,0.64718,0.775,0.67139,0.28464,1.63433,2.97445,1.3132,0.00111776,0.00111776,0.00111776
13,1560.66,1.82635,2.06904,1.53802,0.73542,0.7,0.68879,0.31116,1.67059,2.1638,1.31212,0.00108947,0.00108947,0.00108947
14,1679.09,1.88328,2.09067,1.54033,0.75893,0.7872,0.79202,0.39383,1.47355,2.11529,1.16733,0.00106118,0.00106118,0.00106118
15,1803.23,1.7612,1.86582,1.44797,0.78146,0.71534,0.81139,0.34216,1.47553,2.15867,1.18988,0.00103288,0.00103288,0.00103288
16,1922.52,1.90126,1.804,1.481,0.75886,0.825,0.82651,0.3506,1.5292,1.79358,1.18892,0.00100459,0.00100459,0.00100459
17,2040.23,1.91504,1.71021,1.4612,0.76073,0.7,0.73736,0.31862,1.54913,1.83438,1.20499,0.000976293,0.000976293,0.000976293
18,2161.28,1.9079,1.75755,1.49816,0.81463,0.725,0.8166,0.39596,1.42447,1.60543,1.1561,0.000947999,0.000947999,0.000947999
19,2283,1.83415,1.59095,1.51053,0.79022,0.75,0.79558,0.36376,1.57513,2.10796,1.21168,0.000919704,0.000919704,0.000919704
20,2406.91,1.78845,1.41245,1.41143,0.82107,0.75,0.83658,0.37656,1.42245,1.50223,1.13305,0.00089141,0.00089141,0.00089141
21,2526.21,1.82388,1.33927,1.50951,0.78354,0.75,0.8315,0.37035,1.52818,1.46284,1.19308,0.000863116,0.000863116,0.000863116
22,2646.9,1.78828,1.30895,1.42875,0.93118,0.67654,0.81069,0.39512,1.49706,1.39249,1.18385,0.000834822,0.000834822,0.000834822
23,2774.07,1.6645,1.54136,1.37127,0.82735,0.71894,0.76098,0.37609,1.44653,1.52493,1.18244,0.000806528,0.000806528,0.000806528
24,2897.31,1.71749,1.27781,1.4006,0.84433,0.775,0.84492,0.3705,1.58297,1.44964,1.21919,0.000778233,0.000778233,0.000778233
25,3023.16,1.62624,1.17086,1.31274,0.90266,0.775,0.84833,0.3593,1.59238,1.43067,1.22497,0.000749939,0.000749939,0.000749939
26,3150.41,1.78277,1.2653,1.34858,0.69151,0.75,0.76884,0.3335,1.53723,1.33062,1.23102,0.000721645,0.000721645,0.000721645
27,3276.68,1.74823,1.30538,1.45571,0.82601,0.7123,0.80025,0.36126,1.5644,1.2823,1.24095,0.000693351,0.000693351,0.000693351
28,3401.32,1.74718,1.2237,1.36239,0.75764,0.85,0.8481,0.42504,1.45115,1.17965,1.15429,0.000665057,0.000665057,0.000665057
29,3525.35,1.73913,1.28223,1.41231,0.79678,0.825,0.82651,0.40981,1.43841,1.24849,1.16447,0.000636762,0.000636762,0.000636762
30,3646.84,1.61687,1.10362,1.38744,0.84158,0.79695,0.82743,0.41739,1.42337,1.16543,1.13963,0.000608468,0.000608468,0.000608468
31,3767.71,1.6183,1.06251,1.33746,0.85282,0.775,0.84158,0.42702,1.47895,1.08359,1.14806,0.000580174,0.000580174,0.000580174
32,3889.5,1.66385,1.04203,1.35041,0.74347,0.86954,0.82624,0.34598,1.5851,1.16399,1.22883,0.00055188,0.00055188,0.00055188
33,4015.99,1.59407,1.00983,1.32819,0.80079,0.80405,0.86172,0.36667,1.51498,1.18591,1.18764,0.000523586,0.000523586,0.000523586
34,4137.79,1.55497,0.99229,1.28327,0.809,0.8,0.87062,0.41127,1.41697,1.10877,1.1333,0.000495291,0.000495291,0.000495291
35,4260.45,1.56103,1.07395,1.27911,0.90298,0.69808,0.82374,0.39343,1.49388,1.14502,1.20062,0.000466997,0.000466997,0.000466997
36,4381.21,1.60489,0.95235,1.30221,0.82429,0.775,0.81117,0.38979,1.4264,1.16064,1.16484,0.000438703,0.000438703,0.000438703
37,4502.04,1.53439,0.96326,1.33161,0.8011,0.825,0.80437,0.41129,1.42858,1.13939,1.17316,0.000410409,0.000410409,0.000410409
38,4622.13,1.51132,0.92678,1.30352,0.84863,0.775,0.79299,0.38114,1.49332,1.17008,1.22425,0.000382115,0.000382115,0.000382115
39,4743.93,1.59012,1.02401,1.2858,0.87971,0.73147,0.80021,0.3953,1.4982,1.19919,1.19122,0.00035382,0.00035382,0.00035382
40,4862.22,1.4997,0.91014,1.26764,0.89482,0.775,0.81143,0.41505,1.39508,1.0965,1.15306,0.000325526,0.000325526,0.000325526
41,4982.3,1.46587,0.92018,1.27379,0.90685,0.73029,0.81211,0.41967,1.44466,1.08303,1.1667,0.000297232,0.000297232,0.000297232
42,5114.7,1.56682,0.97548,1.32008,0.90896,0.74888,0.85046,0.39358,1.46425,1.08606,1.22075,0.000268938,0.000268938,0.000268938
43,5239.55,1.41286,0.94482,1.26587,0.89834,0.725,0.84757,0.4056,1.5004,1.0524,1.21616,0.000240644,0.000240644,0.000240644
44,5362.26,1.27491,0.97258,1.18567,0.86015,0.76895,0.81029,0.40383,1.53102,1.11507,1.22518,0.000212349,0.000212349,0.000212349
45,5482.38,1.41579,0.85076,1.30397,0.83381,0.75,0.82831,0.40142,1.4732,1.12499,1.21889,0.000184055,0.000184055,0.000184055
